file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
wellington-071-nzl-uhslc_fd_annual.csv,77,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
wellington-071a-nzl-uhslc_rq_annual.csv,72,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
wilmington-8658120-usa-noaa_annual.csv,86,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
wilmington_nc-750a-usa-uhslc_rq_annual.csv,82,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
woods_hole-8447930-usa-noaa_annual.csv,82,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
wyndham-63090-aus-bom_annual.csv,45,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
yakutat-9453220-usa-noaa_annual.csv,54,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
yakutat_ak-570-usa-uhslc_fd_annual.csv,54,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
yakutat_ak-570a-usa-uhslc_rq_annual.csv,50,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
yap-008-fsm-uhslc_fd_annual.csv,46,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=5,outlier_spike_n=7"
aalesundtg-aal-nor-cmems_annual.csv,62,True,True,True,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected"
abashiri-347-jpn-uhslc_fd_annual.csv,54,True,True,True,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected"
abashiri-347a-jpn-uhslc_rq_annual.csv,62,True,True,True,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected"
abashiri-ma02-jpn-jodc_jma_annual.csv,53,True,True,True,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected"
aburatsu-354-jpn-uhslc_fd_annual.csv,64,True,True,True,MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected
