input_path,exists,gauge_type,is_coastal,number_of_years,station_name,error
/home/pth/GESLA4/DATA/cochino_pequeno-9653601-usa-noaa,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/cochrane_bay-9454851-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cockrobin_island_bridge-9418637-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cocoa_beach-8721649-usa-noaa,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/cocoa_beach_fl-754a-usa-uhslc_rq,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/cocodrie-8762928-usa-noaa,yes,Coastal,yes,7,,
/home/pth/GESLA4/DATA/cocohatchee_river_coco1_t-coco1-usa-sfwmd,yes,Coastal,yes,31,,
/home/pth/GESLA4/DATA/coconut_point-8725319-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cocos-171a-aus-uhslc_rq,yes,Coastal,yes,37,,
/home/pth/GESLA4/DATA/cocos-171-aus-uhslc_fd,yes,Coastal,yes,41,,
/home/pth/GESLA4/DATA/cocos_island-392-cri-uhslc_fd,yes,Coastal,yes,8,,
/home/pth/GESLA4/DATA/coe_mississippi_river_at_bonnet_carre_spillway-7374370-usa-usgs,yes,River,no,2,,
/home/pth/GESLA4/DATA/coe_mississippi_river_at_new_orleans_la-7374510-usa-usgs,yes,River,no,2,,
/home/pth/GESLA4/DATA/coe_mississippi_river_at_venice_la-7374550-usa-usgs,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/coffin_point-8410714-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/coffins_point-8-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/coffs_harbour-205470-aus-bom,yes,Coastal,yes,28,,
/home/pth/GESLA4/DATA/cohansey_river_at_greenwich_nj-1413038-usa-usgs,yes,Coastal,yes,24,,
/home/pth/GESLA4/DATA/colborne_ontario-13640-can-meds,yes,Lake,no,1,,
/home/pth/GESLA4/DATA/colbourn_creek-8571181-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cold_bay-9459949-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cold_springs_harbor-8516061-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cole_harbour-492-can-meds,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/colijnsplaat-colpt-nld-rws_hist,yes,River,no,26,,
